"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
NEXPA_11,충청남도,아산시,일반국도,49번,온중로,,충청남도 아산시 온중로 49,,36.7753502263,126.9970859002,온양중학교(용화초교)(온양중학교 주변),4,0,,,2,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_12,충청남도,아산시,일반국도,27번,중앙로,,충청남도 아산시 중앙로 27,,36.7775082289,127.0025141606,온양중앙초등학교주변,4,0,,,2,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_13,충청남도,아산시,일반국도,25번길 1,시장길,,충청남도 아산시 시장길 25,,36.7832879576,127.0036010179,시민복지문화회관(구경찰서)(시민문화복지회관주변),4,0,,,2,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_14,충청남도,아산시,일반국도,395번,시민로,,충청남도 아산시 시민로 395,,36.7840157499,127.0008259879,시민약국주변,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-03,충청남도,아산시,일반국도,210-24번,풍기동,,충청남도 아산시 온천대로 1594-1,,36.7790004994,127.0146773860,조은물산 앞(한신유통),4,0,,,,2007-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-04,충청남도,아산시,일반국도,294번,시민로,,충청남도 아산시 시민로 294,,36.7760378523,126.9964945357,그린빌라트입구(영웅마트),4,0,,,,2007-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_15,충청남도,아산시,일반국도,30600번,시민로,,충청남도 아산시 시민로 306,,36.7770100637,126.9963912103,용화동교통섬주변,4,0,,,,2007-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_16,충청남도,아산시,일반국도,148번,둔포중앙로,,충청남도 아산시 둔포면 둔포중앙로 148,,36.9275052863,127.0375161172,둔포신협주변,4,0,,,2,2007-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_17,충청남도,아산시,일반국도,1442번,온천대로,,충청남도 아산시 온천대로 1442,,36.7823521912,126.9982742344,호텔헤링턴주변(동해복집),4,0,,,,2007-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_18,충청남도,아산시,일반국도,42번,번영로,,충청남도 아산시 번영로224번길 42,,36.7806576081,127.0142941323,태성빌라 앞,4,0,,,,2009-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_19,충청남도,아산시,일반국도,66번,아산로,,충청남도 아산시 아산로 66,,36.7882335702,126.9972759837,기업은행앞부근(진원손세차장),4,0,,,,2009-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_20,충청남도,아산시,일반국도,93번,충무로,,충청남도 아산시 충무로 93,,36.7893130710,127.0060847000,KT아산지점앞(충무아파트앞),4,0,,,,2009-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_21,충청남도,아산시,일반국도,15번,온궁로,,충청남도 아산시 온궁로 15,,36.7825577299,127.0020860477,농협중앙회아산지부 앞,4,0,,,,2009-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-05,충청남도,아산시,일반국도,58-10번,배방로,,충청남도 아산시 배방읍 배방로 58-10,,36.7723612189,127.0518592153,배방중앙하이츠1차사거리,4,0,,,,2009-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_22,충청남도,아산시,일반국도,121번,남산로,,충청남도 아산시 남산로 121,,36.7790750943,127.0069346944,세븐일레븐주변                        바이더웨이(너더리입구),4,0,,,,2009-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_23,충청남도,아산시,일반국도,1483번,온천대로,,충청남도 아산시 온천대로 1483,,36.7818638615,127.0025669549,성심약국 주변,4,0,,,,2009-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_24,충청남도,아산시,일반국도,1496번,온천대로,,충청남도 아산시 온천대로 1496,,36.7804682813,127.0034511105,온양온천역 후문앞(온양온천역후문앞주변),4,0,,,2,2009-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_25,충청남도,아산시,일반국도,72번,온양역길,,충청남도 아산시 온양역길 72,,36.7803959644,127.0013288225,온양온천역주자장입구(후방),4,0,,,,2009-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_26,충청남도,아산시,일반국도,72번,온양역길,,충청남도 아산시 온양역길 72,,36.7803959644,127.0013288225,온양온천역주자장입구(전방),4,0,,,,2009-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_27,충청남도,아산시,일반국도,74번,번영로,,충청남도 아산시 번영로 74,,36.7865436457,126.9988982731,온양1동사무소 맞은편,4,0,,,,2010-07-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_28,충청남도,아산시,일반국도,383번,시민로,,충창남도 아산시 시민로 383,,,,온양농협온양지점 앞(관광호텔옆),4,0,,,,2010-07-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_29,충청남도,아산시,일반국도,5번,북수로,,충청남도 아산시 배방읍 북수로 5,,36.7706041591,127.0643482916,삼성어린이집삼거리(삼성어린이집 삼거리 주),4,0,,,2,2011-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_30,충청남도,아산시,일반국도,353번,남부로,,충청남도 아산시 남부로 353,,36.7738821735,127.0230966145,동일하이빌부근(동일하이빌 주변),4,0,,,2,2011-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_31,충청남도,아산시,일반국도,1544-16번,외암로,,충청남도 아산시 외암로 1544-16,,36.7728885332,127.0158007149,아이파크앞부근(현대아이파크 주변),4,0,,,2,2011-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_01",충청남도,아산시,일반국도,16번,용연로,,충청남도 아산시 배방읍 용연로 36,,36.7948486824,127.0885726390,용연1단지_에너지,4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_02",충청남도,아산시,일반국도,29번,용연로,,충청남도 아산시 배방읍 용연로 36,,36.7948486824,127.0885726390,용연1단지앞 삼거리,4,0,,,2,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_03",충청남도,아산시,일반국도,53번,용연로,,충청남도 아산시 배방읍 용연로 53,,36.7918215085,127.0908077148,용연4단지 앞 횡단보도(용연2단지앞횡단보도),4,0,,,2,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_04",충청남도,아산시,일반국도,210번,광장로,,충청남도 아산시 배방읍 광장로 210,,36.7974341806,127.1092405602,리차드헤어(롯데마트),4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_05",충청남도,아산시,일반국도,54번,용연로,,충청남도 아산시 배방읍 용연로 54,,36.7922804256,127.0886845242,용연3단지 삼거리(용연3단지 앞 삼거리),4,0,,,2,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_06",충청남도,아산시,일반국도,97번,용연로,,충청남도 아산시 배방읍 용연로 97,,36.7883797997,127.0912708394,설화고 앞,4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_07",충청남도,아산시,일반국도,115번,용연로,,충청남도 아산시 배방읍 용연로 115,,36.7869235961,127.0922091807,자연생태연못,4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_08",충청남도,아산시,일반국도,210번,광장로,,충청남도 아산시 배방읍 광장로 210,,36.7974341806,127.1092405602,롯데마트 입구,4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_09",충청남도,아산시,일반국도,100번,희망로,,충청남도 아산시 배방읍 희망로 100,,36.7945268974,127.1044504727,아산역2번 출구,4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_10",충청남도,아산시,일반국도,16번,연화로,,충청남도 아산시 배방읍 연화로 16,,36.7839644771,127.0924910843,연화7단지,4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_11",충청남도,아산시,일반국도,20번,새아산로,,충청남도 아산시 배방읍 새아산로 20-14,,36.7836082208,127.0934716864,연화8단지(파리바게트),4,0,,,,2011-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_32,충청남도,아산시,일반국도,395번,시민로,,충청남도 아산시 시민로 395,,36.7840157499,127.0008259879,아산우체국 앞,4,0,,,,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_33,충청남도,아산시,일반국도,440번,시민로,,충청남도 아산시 시민로440번길 15-2,,36.7880801756,127.0036508735,우영건축사무소,4,0,,,,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_34,충청남도,아산시,일반국도,11번,충무로8길,,충청남도 아산시 충무로8번길 6,,36.7814550338,127.0051015073,청주탕골목(성보약국),4,0,,,,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_35,충청남도,아산시,일반국도,128번,북수로,,충청남도 아산시 배방읍 북수로 128,,36.7738313092,127.0748557644,흥인빌딩사거리(동부신협북수지점),4,0,,,,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_36,충청남도,아산시,일반국도,32번,북수로,,충청남도 아산시 배방읍 북수로 32,,36.7726353875,127.0646425648,배방초등학교 삼거리(배방초등학교 부근),4,0,,,2,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_37,충청남도,아산시,일반국도,36번,탕정면로,,충청남도 아산시 탕정면 탕정면로 36,,36.7983854487,127.0610931747,트라펠리스 (탕정면사무소앞)(트라펠리스 부근),4,0,,,2,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_38,충청남도,아산시,일반국도,995번,서부북로,,충청남도 아산시 서부북로 993,,36.7892048682,126.9694649547,신광초등학교(신광초등학교 부근),4,0,,,2,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_39,충청남도,아산시,일반국도,352번,남부로,,충청남도 아산시 남부로 352,,36.7719262721,127.0197439821,동일하이빌부근(아산축협풍기지점앞),4,0,,,,2012-06-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_40,충청남도,아산시,일반국도,224번,번영로,,충청남도 아산시 번영로 224,,36.7840756821,127.0153170302,아산시보건소부근,4,0,,,,2012-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_41,충청남도,아산시,일반국도,20번,호서로,,충청남도 아산시 배방읍 호서로79번길 20,,36.7344630229,127.0771069284,호서대입구,4,0,,,,2013-04-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_42,충청남도,아산시,일반국도,301-21번,문화로,,충청남도 아산시 문화로 301-21,,36.7866872306,127.0183125184,한성1차필하우스주변,4,0,,,2,2013-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_43,충청남도,아산시,일반국도,205번,번영로,,충청남도 아산시 번영로 205,,36.7848124736,127.0135002758,시외버스터미널주변,4,0,,,,2013-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_44,충청남도,아산시,일반국도,232번,번영로,,충청남도 아산시 번영로 232,,36.7839018192,127.0162795452,롯데하이마트주변,4,0,,,,2013-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_45,충청남도,아산시,일반국도,225번,번영로,,충청남도 아산시 번영로 225,,36.7846406948,127.0159008172,시외버스터미널주변,4,0,,,,2013-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_46,충청남도,아산시,일반국도,217번,번영로,,충청남도 아산시 번영로 217,,36.7847718601,127.0147908525,시외버스터미널주변,4,0,,,,2013-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_47,충청남도,아산시,일반국도,257-10번,문화로,,충청남도 아산시 문화로 257-10,,36.7901274450,127.0155758093,권곡청솔아파트주변(청솔아파트주변),4,0,,,2,2013-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-06,충청남도,아산시,일반국도,217번,행목로,,충청남도 아산시 신창면 행목로 217,,36.7831816809,126.9536989100,친오애아파트후문,4,0,,,,2014-07-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_48,충청남도,아산시,일반국도,1496번,온천대로,,충청남도 아산시 온천대로 1496,,36.7804682813,127.0034511105,온양온천역주변,4,0,,,,2015-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_49,충청남도,아산시,일반국도,38번,배방로,,충청남도 아산시 배방읍 배방로 38,,36.7738896259,127.0536368988,배방읍사무소주변,4,0,,,,2015-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_50,충청남도,아산시,일반국도,88번,용연로,,충청남도 아산시 배방읍 용연로 88,,36.7890462873,127.0905325283,배방119안전센터주변,4,0,,,,2015-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_51,충청남도,아산시,일반국도,54-15번,탕정면로,,충청남도 아산시 탕정면 탕정면로 54-15,,36.7977917097,127.0638302791,미래초등학교주변,4,0,,,2,2015-01-30,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_52,충청남도,아산시,일반국도,515번,음봉로,,충청남도 아산시 음봉면 음봉로 515-50,,36.8457963264,127.0688376940,월랑초등학교주변,4,0,,,2,2016-04-04,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_12",충청남도,아산시,일반국도,122번,아산로,,충청남도 아산시 아산로 122,,36.7926139771,126.9946377050,유보라아파트 입구,4,0,,,,2016-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_13",충청남도,아산시,일반국도,409번,시민로,,충청남도 아산시 시민로 409,,36.7850132810,127.0012203449,온양온천시장 샘솟는거리,4,0,,,,2016-08-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_53,충청남도,아산시,일반국도,100번,희망로,,충청남도 아산시 배방읍 희망로 100,,36.7945268974,127.1044504727,천안아산역 2층승강장 주변,4,0,,,,2016-12-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_14",충청남도,아산시,일반국도,22번,모종로,,충청남도 아산시 모종로 22,,36.7840705895,127.0193455858,모종동 캐슬어울림 1단지,4,0,,,,2017-03-02,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_15",충청남도,아산시,일반국도,22번,모종로,,충청남도 아산시 모종로 22,,36.7840705895,127.0193455858,모종동 캐슬어울림 2단지,4,0,,,,2017-03-02,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_16",충청남도,아산시,일반국도,22번,모종로,,충청남도 아산시 모종로 22,,36.7840705895,127.0193455858,모종동 캐슬어울림 3단지,4,0,,,2,2017-03-02,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_17",충청남도,아산시,일반국도,22번,모종로,,충청남도 아산시 모종로 22,,36.7840705895,127.0193455858,모종동 캐슬어울림 3단지 뒷편,4,0,,,,2017-03-02,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_54,충청남도,아산시,일반국도,47번,아산밸리중앙로,,충청남도 아산시 둔포면 아산밸리중앙로 47,,36.9239313382,127.0529739149,둔포 이지더원 3단지 주변,4,0,,,,2017-03-10,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_55,충청남도,아산시,일반국도,48번,아산밸리북로,,충청남도 아산시 둔포면 아산밸리북로 48,,36.9267452914,127.0525275863,둔포 이지더원 5단지 주변,4,0,,,,2017-03-10,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_18",충청남도,아산시,일반국도,126번,남산로,,충청남도 아산시 남산로 126,,36.7786674672,127.0077798558,온양힐스테이트 입구 사거리,4,0,,,,2017-05-02,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_19",충청남도,아산시,일반국도,1247번,외암로,,충청남도 아산시 외암로 1247,,36.7473276217,127.0139974839,장존청솔아파트 입구,4,0,,,,2017-05-02,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_20",충청남도,아산시,일반국도,2번,중앙공원로,,충청남도 아산시 둔포면 중앙공원로 2,,36.9232584846,127.0578190709,중앙공원 2교차로,4,0,,,,2017-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_21",충청남도,아산시,일반국도,2번,중앙공원로,,충청남도 아산시 둔포면 중앙공원로 2,,36.9232584846,127.0578190709,중앙공원 3교차로,4,0,,,,2017-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_22",충청남도,아산시,일반국도,35번,용화로,,충청남도 아산시 용화로 35,,36.7739547194,127.0090431227,용화동 롯데리아 앞 사거리,4,0,,,,2017-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_23",충청남도,아산시,일반국도,32번,탕정면로,,충청남도 아산시 탕정면 탕정면로32,,,,명암3리 버스승강장 앞,4,0,,,,2017-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_24",충청남도,아산시,일반국도,24번,음봉로,,충청남도 아산시 음봉면 음봉로681번길 24,,36.8410356275,127.0857135450,음봉 초원아파트 버스승강장 앞,4,0,,,,2017-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-07,충청남도,아산시,일반국도,7번,탕정로,,충청남도 아산시 탕정면 탕정로23번길 7,,36.7991929701,127.0471568215,탕정파출소 입구,4,0,,,,2017-12-21,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-08,충청남도,아산시,일반국도,37번,탕정면로,,충청남도 아산시 탕정면 탕정면로 37,,36.7992434403,127.0601264087,탕정삼성트라팰리스 정문 앞(삼성트라펠리스정문),4,0,,,2,2017-12-21,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-09,충청남도,아산시,일반국도,11번,북수로,,충청남도 아산시 배방읍 북수로 25번길 11,,36.7710118540,127.0629454854,배방초등학교 입구,4,0,,,2,2017-12-21,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-10,충청남도,아산시,일반국도,29번,온천대로,,충청남도 아산시 온천대로1333번길 29,,36.7878868415,126.9868050386,온양신정초등학교 입구(온양신정초교입구),4,0,,,2,2017-12-21,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_25",충청남도,아산시,일반국도,442번,이순신대로,,충청남도 아산시 탕정면 이순신대로 442,,36.7969859222,127.0528305684,탕정지구 용두1,4,0,,,,2018-01-02,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_26",충청남도,아산시,일반국도,34번,온샘로,,충청남도 아산시 탕정면 온샘로 34,,36.7964198399,127.0534424033,탕정지구 용두2,4,0,,,,2018-01-02,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-11,충청남도,아산시,일반국도,133번,연화로,,충청남도 아산시 배방읍 연화로 133,,36.7872397885,127.1047376937,나인모티움웨딩홀 앞,4,0,,,,2018-03-21,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-56",충청남도,아산시,일반국도,11-9번,희망로,,충청남도 아산시 배방읍 희망로46번길 11-9,,36.7891906553,127.1034508120,신성미소지움아파트 앞,4,0,,,,2018-04-12,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-57",충청남도,아산시,일반국도,17번,중앙로,,충청남도 아산시 중앙로 17,,36.7768331262,127.0017571189,중앙초등학교 정문 앞(온양중앙초주변),4,0,,,2,2018-04-25,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-58",충청남도,아산시,일반국도,253번,시민로,,충청남도 아산시 시민로 253,,36.7725455903,126.9945242906,용화동 사거리,4,0,,,,2018-04-25,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-59",충청남도,아산시,일반국도,216번,배방로,,충청남도 아산시 배방읍 배방로 216,,36.7699861405,127.0715073463,배방중학교 입구 사거리,4,0,,,,2018-04-25,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-60",충청남도,아산시,일반국도,100번,천안역,,충청남도 아산시 배방읍 희망로 100,,36.7945268974,127.1044504727,천안아산역 버스승강장,4,0,,,,2018-04-25,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-61",충청남도,아산시,일반국도,27번,장재로,,충청남도 아산시 배방읍 장재로 27,,36.7876524831,127.1114965935,장재마을휴먼시아 입구 사거리,4,0,,,,2018-04-25,아산시청 교통행정과,041-540-2953,2020-09-17
"서광시스템_27",충청남도,아산시,일반국도,103번,아산밸리중앙로,,충청남도 아산시 둔포면 아산밸리중앙로 103,,36.9255467391,127.0594277861,서진캠 앞(다이소 부근),4,0,,,,2018-05-04,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-62",충청남도,아산시,일반국도,8번,삼동로,,충청남도 아산시 삼동로 8,,36.7805886231,127.0104363574,신천탕 앞,4,0,,,,2018-11-08,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-63",충청남도,아산시,일반국도,187번,배방로,,충청남도 아산시 배방읍 배방로 187,,36.7705975116,127.0667636524,북수리 주차타워 앞,4,0,,,,2018-12-05,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_28",충청남도,아산시,일반국도,184번,어의정로,,충청남도 아산시 어의정로 184,,36.7745158367,127.0166330957,풍기이지더원1차아파트 옆 삼거리(풍기이지더원1차APT앞),4,0,,,2,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_29",충청남도,아산시,일반국도,220번,실옥로,,충청남도 아산시 실옥로 220,,36.7982302741,126.9782088482,온양4동 행정복지센터 앞 삼거리,4,0,,,,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_30",충청남도,아산시,일반국도,847번,음봉로,,충창남도 아산시 음봉로 847,,,,아산삼일원앙아파트 입구,4,0,,,,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_31",충청남도,아산시,일반국도,229번,남부로,,충청남도 아산시 남부로 229,,36.7703412679,127.0056803047,아산시중앙도서관 앞,4,0,,,,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_32",충청남도,아산시,일반국도,253번,시민로,,충청남도 아산시 시민로 253,,36.7725455903,126.9945242906,모아미래도아파트 사거리,4,0,,,2,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_33",충청남도,아산시,일반국도,234번,번영로,,충청남도 아산시 번영로234번길 52,,36.7795936534,127.0170823941,온양동신초 입구 사거리,4,0,,,2,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_34",충청남도,아산시,일반국도,57-29,배방로,,충청남도 아산시 배방읍 배방로 57-29,,36.7725535279,127.0577070461,아산세무서 앞,4,0,,,2,2019-05-10,아산시청 교통행정과,041-540-2953,2020-09-17
"하나씨엔에스-64",충청남도,아산시,일반국도,22번,순천향로,,충청남도 아산시 신창면 순천향로 22,,36.7713718911,126.9341337749,순천향대학교 후문주변,4,0,,,,2019-09-09,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_35",충청남도,아산시,일반국도,3-8번,시민로,,충청남도 아산시 시민로258번길 3-8,,36.7731177801,126.9963724626,용화초등학교 정문 앞,4,0,,,2,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_36",충청남도,아산시,일반국도,25번,북수로,,충청남도 아산시 배방읍 북수로 25,,36.7721708582,127.0643165575,배방초등학교 정문 앞,4,0,,,2,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_37",충청남도,아산시,일반국도,58-52번,배방로,,충청남도 아산시 배방읍 배방로 58-52,,36.7694461747,127.0519060874,모산초등학교 입구 삼거리,4,0,,,2,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_38",충청남도,아산시,일반국도,38-43번,모산로,,충청남도 아산시 배방읍 모산로 38-43,,36.7702241250,127.0466465728,공수초등학교 입구 사거리,4,0,,,2,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_39",충청남도,아산시,일반국도,66번,모종남로,,충청남도 아산시 모종남로 66,,36.7805402270,127.0262537593,신리초등학교 입구 사거리,4,0,,,2,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_40",충청남도,아산시,일반국도,48번,온중로,,충청남도 아산시 온중로 48,,36.7737090470,126.9983721041,온양중학교 입구 사거리,4,0,,,2,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
"테라테코_41",충청남도,아산시,일반국도,15번,시민로,,충청남도 아산시 시민로393번길 15,,36.7838625613,126.9993318618,당진수협 입구 사거리,4,0,,,,2020-04-17,아산시청 교통행정과,041-540-2953,2020-09-17
